
> coreone-backend@1.1.0 dev
> tsx watch src/app.ts

Database initialized successfully
(node:27316) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
COREONE Backend Server running on port 3001
API Base URL: http://localhost:3001/api/v1
[2026-05-20T03:44:42.046Z] POST /api/v1/auth/login
[2026-05-20T03:44:42.717Z] GET /api/v1/users
[2026-05-20T03:44:42.721Z] GET /api/v1/users
[2026-05-20T03:44:42.723Z] GET /api/v1/roles
[2026-05-20T03:44:42.726Z] GET /api/v1/roles
[2026-05-20T03:44:44.197Z] GET /api/v1/users
[2026-05-20T03:44:45.218Z] POST /api/v1/auth/login
[2026-05-20T03:44:45.569Z] GET /api/v1/users
[2026-05-20T03:44:46.311Z] POST /api/v1/auth/login
[2026-05-20T03:44:47.010Z] GET /api/v1/users
[2026-05-20T03:44:47.013Z] GET /api/v1/users
[2026-05-20T03:44:47.016Z] GET /api/v1/roles
[2026-05-20T03:44:47.018Z] GET /api/v1/roles
[2026-05-20T03:44:49.480Z] POST /api/v1/auth/login
[2026-05-20T03:44:49.831Z] GET /api/v1/users
[2026-05-20T03:44:50.491Z] POST /api/v1/auth/login
[2026-05-20T03:44:51.293Z] GET /api/v1/users
[2026-05-20T03:44:51.296Z] GET /api/v1/users
[2026-05-20T03:44:51.299Z] GET /api/v1/roles
[2026-05-20T03:44:51.301Z] GET /api/v1/roles
[2026-05-20T03:44:53.779Z] POST /api/v1/auth/login
[2026-05-20T03:44:54.234Z] GET /api/v1/users
[2026-05-20T03:44:55.013Z] POST /api/v1/auth/login
[2026-05-20T03:44:55.747Z] GET /api/v1/users
[2026-05-20T03:44:55.751Z] GET /api/v1/users
[2026-05-20T03:44:55.753Z] GET /api/v1/roles
[2026-05-20T03:44:55.756Z] GET /api/v1/roles
[2026-05-20T03:45:26.838Z] POST /api/v1/auth/login
[2026-05-20T03:45:27.211Z] GET /api/v1/users
[2026-05-20T03:45:29.016Z] POST /api/v1/auth/login
[2026-05-20T03:45:29.493Z] GET /api/v1/inventory/stats
[2026-05-20T03:45:29.499Z] GET /api/v1/inventory/stats
