Database initialized successfully
(node:20256) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
COREONE Backend Server running on port 3001
API Base URL: http://localhost:3001/api/v1
[2026-05-15T09:49:35.766Z] POST /api/v1/users
[2026-05-15T09:49:35.775Z] POST /api/v1/auth/login
[2026-05-15T09:49:35.776Z] GET /api/v1/users
[2026-05-15T09:49:37.218Z] POST /api/v1/auth/login
[2026-05-15T09:49:49.092Z] POST /api/v1/auth/login
[2026-05-15T09:49:49.101Z] GET /api/v1/users
[2026-05-15T09:49:50.267Z] POST /api/v1/auth/login
[2026-05-15T09:50:02.088Z] POST /api/v1/auth/login
[2026-05-15T09:50:02.096Z] GET /api/v1/users
[2026-05-15T09:50:03.306Z] POST /api/v1/auth/login
[2026-05-15T09:50:15.055Z] POST /api/v1/auth/login
[2026-05-15T09:50:15.064Z] GET /api/v1/users
[2026-05-15T09:50:15.761Z] POST /api/v1/auth/login
[2026-05-15T09:50:15.764Z] POST /api/v1/users
[2026-05-15T09:50:16.192Z] POST /api/v1/auth/login
[2026-05-15T09:50:27.974Z] POST /api/v1/auth/login
[2026-05-15T09:50:27.982Z] GET /api/v1/users
[2026-05-15T09:50:29.185Z] POST /api/v1/auth/login
[2026-05-15T09:50:41.011Z] POST /api/v1/auth/login
[2026-05-15T09:50:41.020Z] GET /api/v1/users
[2026-05-15T09:50:41.692Z] POST /api/v1/auth/login
[2026-05-15T09:50:41.695Z] PUT /api/v1/users/non-existent-id
[2026-05-15T09:50:43.119Z] POST /api/v1/auth/login
[2026-05-15T09:50:43.127Z] GET /api/v1/users
[2026-05-15T09:50:43.129Z] POST /api/v1/auth/login
[2026-05-15T09:50:43.369Z] PUT /api/v1/users/test-id
[2026-05-15T09:50:43.387Z] POST /api/v1/auth/login
[2026-05-15T09:50:43.388Z] GET /api/v1/users
[2026-05-15T09:50:43.390Z] POST /api/v1/auth/login
[2026-05-15T09:50:43.628Z] PUT /api/v1/users/test-id
[2026-05-15T09:50:43.639Z] POST /api/v1/auth/login
[2026-05-15T09:50:43.643Z] GET /api/v1/users
[2026-05-15T09:50:43.645Z] POST /api/v1/auth/login
[2026-05-15T09:50:43.889Z] PUT /api/v1/users/test-id
[2026-05-15T09:50:43.898Z] POST /api/v1/auth/login
[2026-05-15T09:50:43.900Z] GET /api/v1/users
[2026-05-15T09:50:43.901Z] POST /api/v1/auth/login
